autor,texto,likes,fecha,texto_limpio,ubicacion,tokens,sentimiento,probabilidad
@Beto8starwalker,"Los organismos internacionales q siempre defienden los derechos humanos d los delincuentes pero nunca los d las victimas? si claro, gran arguemnto (con ese argumento gana bukele por el 99.9% d los votos). Viva el salvador y viva bukele.",0,2026-03-17T22:07:12Z,organismos internacionales siempre defienden derechos humanos delincuentes nunca victimas claro gran arguemnto argumento gana bukele votos viva salvador viva bukele,sin info,"organismos,internacionales,siempre,defienden,derechos,humanos,delincuentes,nunca,victimas,claro,gran,arguemnto,argumento,gana,bukele,votos,viva,salvador,viva,bukele",neutro,0.492066860198975
@aristidesroman435,Bukele para precidente de Mexico🎉🎉🎉🎉,0,2026-03-17T12:01:01Z,bukele precidente mexico,Mexico,"bukele,precidente,mexico",neutro,0.707282841205597
@saurophaganax143,Cambio pero para peor aunque el bukele diga que acaba con las pandillas no acaba con la pobreza y ya unos 7 millones de salvadores nos huyeron del país y se establecieron en 35 países,0,2026-03-15T22:57:55Z,cambio peor aunque bukele diga acaba pandillas acaba pobreza millones salvadores huyeron país establecieron países,sin info,"cambio,peor,aunque,bukele,diga,acaba,pandillas,acaba,pobreza,millones,salvadores,huyeron,país,establecieron,países",negativo,0.964184105396271
@CarlosMunoz-le8jd,platicando con un salvadoreño le pregunte porque no regresaba a su tierra i se quedo triste i me dijo todos se creen esa vaina que dicen pero la realidad es otra todos los policías coludidos siguen en sus puestos i mi familia debe pagar la cuota ya casi no se ven maras pero sije el cobro de la extorción,0,2026-03-15T02:22:48Z,platicando salvadoreño pregunte regresaba tierra quedo triste dijo creen vaina dicen realidad policías coludidos siguen puestos familia debe pagar cuota casi ven maras sije cobro extorción,sin info,"platicando,salvadoreño,pregunte,regresaba,tierra,quedo,triste,dijo,creen,vaina,dicen,realidad,policías,coludidos,siguen,puestos,familia,debe,pagar,cuota,casi,ven,maras,sije,cobro,extorción",negativo,0.889510333538055
@silvanafioramonti1630,"Me gusto mucho el video, gracias.",0,2026-03-15T00:20:07Z,gusto video gracias,sin info,"gusto,video,gracias",positivo,0.977860987186432
@martadeluca8344,"NO TE PONGAS A INVENTAR JUAN"". A BUKELE LOS INEPTOS, LE DICEN QUE ES UN DICTADOR"". PUES MIRA: SI ES UN DICTADOR"", FELICIDADES👏👏👏 PORQUE OJALA' TODOS LOS DICTADORES DEL MUNDO"" 🌎🌏🌍 FUERAN ASI!!! CHAOLIN"".",1,2026-03-14T16:16:55Z,pongas inventar juan bukele ineptos dicen dictador pues mira dictador felicidades ojala dictadores mundo asi chaolin,sin info,"pongas,inventar,juan,bukele,ineptos,dicen,dictador,pues,mira,dictador,felicidades,ojala,dictadores,mundo,asi,chaolin",negativo,0.681862711906433
@martadeluca8344,"EL MEJOR PRESIDENTE"", DEL MUNDO!!! 🌎🌏🌍 JUAN"". SEA, LO QUE SEA"", ESTE HOMBRE NAYIB BUKELE""😍 ES UN CRACK!!!",1,2026-03-14T16:09:50Z,mejor presidente mundo juan hombre nayib bukele crack,sin info,"mejor,presidente,mundo,juan,hombre,nayib,bukele,crack",positivo,0.829700410366058
@antoniojimenez5593,"Según lo veo yo. Es muy importante la libertad, la igualdad y la democracia, pero sin seguridad no creo que se pueda conseguir estos valores. Pero una vez conseguida la seguridad, volvamos a centrarnos en los principios básicos de la convivencia. Saludos",0,2026-03-13T16:28:43Z,según veo importante libertad igualdad democracia seguridad creo pueda conseguir valores vez conseguida seguridad volvamos centrarnos principios básicos convivencia saludos,sin info,"según,veo,importante,libertad,igualdad,democracia,seguridad,creo,pueda,conseguir,valores,vez,conseguida,seguridad,volvamos,centrarnos,principios,básicos,convivencia,saludos",neutro,0.492126554250717
@junkymachetes,"Gracias, como siempre, por invitar a la reflexión de forma neutral. Cuando se toma postura sobre un tema, conviene hacerlo desde la perspectiva de las víctimas, y lamentablemente en este caso, hay miles de ellas. El dictador de ese hermoso país, que se dice ""presidente"", sepultó la democracia. Aquí están las evidencias: 👇
https://youtu.be/2-09-U2xYiQ?si=pJ9zFmmMnuFS5dlk",0,2026-03-13T13:37:46Z,gracias siempre invitar reflexión forma neutral toma postura tema conviene hacerlo perspectiva víctimas lamentablemente caso miles dictador hermoso país dice presidente sepultó democracia aquí evidencias,sin info,"gracias,siempre,invitar,reflexión,forma,neutral,toma,postura,tema,conviene,hacerlo,perspectiva,víctimas,lamentablemente,caso,miles,dictador,hermoso,país,dice,presidente,sepultó,democracia,aquí,evidencias",negativo,0.615788817405701
@mariomunoz1864,EL JARISI VIVE DANDO CLASES DE ESTAFA Y FRAUDE ECONOMICOS EN EE UU 😄😄😄,0,2026-03-12T11:56:33Z,jarisi vive dando clases estafa fraude economicos,sin info,"jarisi,vive,dando,clases,estafa,fraude,economicos",negativo,0.655872583389282
